"pokemon1","pokemon2","compatibility","viability_ceiling_pokemon2"
"Iron Moth","Sableye",0.0147638451308012,79
"Iron Moth","Whimsicott",0.2193867266178131,86
"Iron Moth","Ursaluna",0.019440175965428352,83
"Iron Moth","Zapdos-Galar",0.010154318995773792,77
"Iron Moth","Meowscarada",0.015899525955319405,74
"Iron Moth","Pelipper",0.022446388378739357,84
"Iron Moth","Brute Bonnet",0.013561360538005829,78
"Iron Moth","Volcarona",0.01229207031428814,81
"Iron Moth","Urshifu-Rapid-Strike",0.11056182533502579,85
"Iron Moth","Iron Hands",0.15826040506362915,85
"Iron Moth","Dragonite",0.03240029513835907,85
"Iron Moth","Pincurchin",0.016567572951316833,72
"Iron Moth","Kingambit",0.026588281616568565,82
"Iron Moth","Gholdengo",0.02231277897953987,85
"Iron Moth","Iron Jugulis",0.034805264323949814,80
"Iron Moth","Indeedee-Female",0.03427082672715187,83
"Iron Moth","Tatsugiri-Curly",0.010020709596574306,85
"Iron Moth","Araquanid",0.01890573836863041,77
"Iron Moth","Landorus-Incarnate",0.06526821851730347,86
"Iron Moth","Ogerpon-Wellspring-Mask",0.05818691849708557,83
"Iron Moth","Walking Wake",0.0295276902616024,79
"Iron Moth","Chien-Pao",0.07655821740627289,85
"Iron Moth","Incineroar",0.10227803885936737,85
"Iron Moth","Urshifu-Single-Strike",0.15164673328399658,83
"Iron Moth","Iron Leaves",0.031064199283719063,81
"Iron Moth","Koraidon",0.058053310960531235,83
"Iron Moth","Corviknight",0.013494555838406086,73
"Iron Moth","Raging Bolt",0.04850023239850998,86
"Haunter","Meowscarada",0.04281345382332802,74
"Haunter","Lucario",0.024464832618832588,71
"Haunter","Azumarill",0.03363914415240288,80
"Haunter","Maushold-Family-of-Four",0.024464832618832588,80
"Haunter","Duraludon",0.03822629898786545,74
"Haunter","Regirock",0.055045872926712036,75
"Haunter","Ho-Oh",0.010703363455832005,77
"Haunter","Koraidon",0.04740061238408089,83
"Haunter","Pikachu",0.06574923545122147,80
"Haunter","Articuno",0.013761468231678009,70
"Haunter","Clefairy",0.01834862306714058,84
"Haunter","Exeggutor",0.010703363455832005,74
"Haunter","Ogerpon-Hearthflame-Mask",0.03516819700598717,85
"Haunter","Moltres-Galar",0.02905198745429516,77
"Haunter","Annihilape",0.03516819700598717,83
"Haunter","Walking Wake",0.030581040307879448,79
"Haunter","Chesnaught",0.01681957207620144,76
"Haunter","Tornadus-Incarnate",0.04281345382332802,83
"Haunter","Terapagos",0.05810397490859032,83
"Haunter","Clefable",0.013761468231678009,74
"Haunter","Gastrodon",0.024464832618832588,81
"Haunter","Flygon",0.013761468231678009,70
"Haunter","Indeedee-Female",0.12691131234169006,83
"Haunter","Typhlosion",0.01987767592072487,67
"Haunter","Pelipper",0.015290520153939724,84
"Haunter","Raging Bolt",0.01987767592072487,86
"Haunter","Rayquaza",0.08715596050024033,77
"Haunter","Ogerpon-Wellspring-Mask",0.03363914415240288,83
"Haunter","Lilligant-Hisui",0.010703363455832005,76
"Haunter","Sandy Shocks",0.048929665237665176,73
"Haunter","Whimsicott",0.03822629898786545,86
"Haunter","Dedenne",0.013761468231678009,69
"Haunter","Klefki",0.01834862306714058,79
"Haunter","Chien-Pao",0.02140672691166401,85
"Haunter","Weezing-Galar",0.01681957207620144,82
"Haunter","Gothorita",0.013761468231678009,73
"Haunter","Leafeon",0.015290520153939724,68
"Haunter","Chi-Yu",0.01987767592072487,86
"Haunter","Gothitelle",0.02905198745429516,80
"Haunter","Kyogre",0.059633027762174606,83
"Haunter","Incineroar",0.1376146823167801,85
"Haunter","Dugtrio",0.05198776721954346,70
"Haunter","Flutter Mane",0.03363914415240288,83
"Haunter","Rotom-Wash",0.05198776721954346,77
"Haunter","Lokix",0.055045872926712036,71
"Haunter","Groudon",0.05657492205500603,81
"Haunter","Umbreon",0.01834862306714058,79
"Haunter","Basculegion-Male",0.010703363455832005,80
"Haunter","Zamazenta-Crowned",0.02905198745429516,85
"Haunter","Hatterene",0.0229357797652483,79
"Haunter","Garchomp",0.17125381529331207,77
"Haunter","Overqwil",0.015290520153939724,82
"Haunter","Dragonite",0.015290520153939724,85
"Haunter","Excadrill",0.05351682007312775,75
"Haunter","Urshifu-Rapid-Strike",0.012232416309416294,85
"Haunter","Drifblim",0.08562690764665604,78
"Haunter","Bronzong",0.08562690764665604,74
"Haunter","Porygon2",0.048929665237665176,77
"Haunter","Farigiraf",0.01681957207620144,85
"Haunter","Araquanid",0.059633027762174606,77
"Haunter","Heatran",0.03363914415240288,82
"Haunter","Chansey",0.013761468231678009,69
"Haunter","Hydreigon",0.07339449226856232,71
"Haunter","Palafin-Hero",0.010703363455832005,70
"Haunter","Muk-Alola",0.07951070368289948,80
"Haunter","Landorus-Incarnate",0.030581040307879448,86
"Haunter","Miraidon",0.030581040307879448,85
"Haunter","Cinderace",0.055045872926712036,77
"Haunter","Solgaleo",0.048929665237665176,77
"Haunter","Mienshao",0.030581040307879448,79
"Haunter","Rotom-Heat",0.010703363455832005,76
"Haunter","Bastiodon",0.013761468231678009,77
"Haunter","Gyarados",0.02599388360977173,73
"Haunter","Comfey",0.02599388360977173,78
"Haunter","Talonflame",0.013761468231678009,81
"Haunter","Amoonguss",0.03822629898786545,85
"Haunter","Golem-Alola",0.01681957207620144,75
"Haunter","Corviknight",0.09785933047533035,73
"Haunter","Calyrex-Shadow",0.01681957207620144,85
"Haunter","Torkoal",0.07186544686555862,81
"Haunter","Blastoise",0.010703363455832005,74
"Haunter","Vikavolt",0.08715596050024033,73
"Haunter","Sableye",0.013761468231678009,79
"Haunter","Rillaboom",0.012232416309416294,85
"Haunter","Hypno",0.055045872926712036,63
"Haunter","Snorlax",0.03363914415240288,72
"Haunter","Ursaluna",0.013761468231678009,83
"Haunter","Grimmsnarl",0.030581040307879448,84
"Haunter","Tyranitar",0.12232416123151779,75
"Haunter","Calyrex-Ice",0.03822629898786545,86
"Haunter","Landorus-Therian",0.013761468231678009,83
"Haunter","Ribombee",0.05198776721954346,71
"Haunter","Zacian-Crowned",0.05351682007312775,83
"Haunter","Enamorus-Therian",0.010703363455832005,72
"Haunter","Revavroom",0.013761468231678009,68
"Delphox","Lunala",0.029228854924440384,82
"Delphox","Lapras",0.06343283504247665,71
"Delphox","Dondozo",0.021766168996691704,85
"Delphox","Mienshao",0.08208955079317093,79
"Delphox","Terapagos",0.02238805964589119,83
